id,date,time,daypart,name,company,location,isInviteOnly,topics,formats,description,externalHref
4062,2026-06-03,07:00:00,morning,Human Performance Innovation jog,TrackCred,Central Park,False,Founder fundraising / VC;GTM / marketing / creator;Consumer / creative / media,other,"Founders, Funders, Operators, Scientists, Creators & Olympians at the edge of human performance innovation will get together for a conversation-paced 5-mil…",https://partiful.com/e/uBOkf1NsfDwzdMne8E2B
5486,2026-06-03,07:00:00,morning,Bridge the Tech Gap,RemoFirst,Financial District,False,other,community_networking;wellness_social,Join RemoFirst and Running Booth for a morning run or walk across the Brooklyn Bridge — one of the most iconic routes in the world. Meet us at the Oculus a…,https://partiful.com/e/0qepwkdEYxO5OYEvQ52k
4212,2026-06-03,07:30:00,morning,The Anti-Success Panel: Hard Lessons No One Posts About,Eagerworks,SoHo,True,Consumer / creative / media,other,,
4266,2026-06-03,07:30:00,morning,Pitch and Run Williamsburg,Pitch and Run,Brooklyn,False,Founder fundraising / VC,community_networking;fundraising_vc;wellness_social,,https://partiful.com/e/vDw5zyXUvmrcNTgmWeXH
81,2026-06-03,07:45:00,morning,Finance Run Club,Runway Financial,SoHo,False,Fintech / finance,community_networking;wellness_social,,https://partiful.com/e/nwxJ2O5JhxJfTSFaksLr
214,2026-06-03,08:00:00,morning,FemHack All-Female Hackathon + Founders and Funders Networking,Fierce Foundry,Nomad,False,Founder fundraising / VC;Diversity / women / international,technical_talk_workshop;community_networking,"Ready to team up, innovate, and create something incredible? FEMHACK [NYC] is an all-female hackathon where you can join women in tech to build prototypes,…",https://partiful.com/e/eBzPADEdUmk03eR8RNBu?c=_UiztwBI
4004,2026-06-03,08:00:00,morning,Breakfast Roundtable focused on preventing diabetic foot ulcers,Solecooler,Central Park,True,other,community_networking,,
4208,2026-06-03,08:00:00,morning,Before the Ballots Drop with Sway,Sway,Midtown,False,other,other,,https://partiful.com/e/yDpsVvIoqgdkoJ93i1hX?c=eUTgXY88
4443,2026-06-03,08:00:00,morning,GIDE-A-THON,Generative IDE,Midtown,False,other,other,,https://partiful.com/e/0zgEiZwPFM6JwBwJLTXc
4988,2026-06-03,08:00:00,morning,Community Awareness: Recharge Event,"POLLEN8 Technology, Inc",Midtown,False,Consumer / creative / media,community_networking,,https://partiful.com/e/tb4BqGF90d8iYR9YSwrA
5307,2026-06-03,08:00:00,morning,Building Breakout Consumer Brands,AcceleratorCON,Chelsea,False,GTM / marketing / creator;Consumer / creative / media,technical_talk_workshop,,https://partiful.com/e/JfVnY8xQybNGHAIRxCRN
5880,2026-06-03,08:00:00,morning,From Prototype to Production for Non-Technical Founders,Tequity,Central Park,True,Founder fundraising / VC,technical_talk_workshop;product_demo_showcase,,
6206,2026-06-03,08:00:00,morning,Concourse x a16z CFO Breakfast,Concourse,Flatiron,False,other,community_networking,,https://partiful.com/e/8WDylwZwAYAiMq5ZXcX8
2,2026-06-03,08:30:00,morning,Roo Capital: Founder + Investor Breakfast,Roo Capital,Meatpacking District,False,AI infra / devtools / cloud;Founder fundraising / VC,technical_talk_workshop;community_networking;fundraising_vc,Join Roo Capital on our rooftop in the Meatpacking District during NY Tech Week. We're bringing together founders and investors for great coffee and breakf…,https://partiful.com/e/qnHFGeZHXU07GTrAf5ZO
4265,2026-06-03,08:30:00,morning,Pitch and Run Central Park,Pitch and Run,Central Park,False,Founder fundraising / VC;Consumer / creative / media,community_networking;fundraising_vc;wellness_social,,https://partiful.com/e/wrblHPhZVVfIESHff5D1
4727,2026-06-03,08:30:00,morning,MongoDB AI Builder Day with AWS,MongoDB,Nomad,False,AI / Agents / GenAI;AI infra / devtools / cloud;Consumer / creative / media,technical_talk_workshop,"Join MongoDB and AWS for a one-day, hands-on day of learning and technical workshops focused entirely on AI integration with the chance to earn Credly Badg…",https://partiful.com/e/wcXp7CbCwqwC2DFNXGUG
4945,2026-06-03,08:30:00,morning,"Founders Breakfast w/ Vonage: Funding, Scale & the Startup Ecosystem",Vonage,SoHo,False,Founder fundraising / VC;Consumer / creative / media,community_networking,,https://partiful.com/e/VzFiSUj168Sj3mJvvD3N
4964,2026-06-03,08:30:00,morning,The AI GTM Book Club @ NY Tech Week,Warrant,Chelsea,False,AI / Agents / GenAI;GTM / marketing / creator;Consumer / creative / media,community_networking,,https://partiful.com/e/jk9RAhLXAwGUteraldWT
5891,2026-06-03,08:30:00,morning,Build Your Team for the Agentic Era,of All Trades,Midtown,False,AI / Agents / GenAI,technical_talk_workshop,,https://partiful.com/e/R1bB2tFJzIqr2bToSw6R
85,2026-06-03,09:00:00,morning,VPB Capital x Capacity Demo Day – New York,Venture Philanthropy Blueprint,Virtual (NYC),True,AI infra / devtools / cloud;Founder fundraising / VC,technical_talk_workshop;product_demo_showcase;fundraising_vc,,
105,2026-06-03,09:00:00,morning,Venture Sails Breakfast,Venture Sails,Brooklyn,False,AI / Agents / GenAI,community_networking,,https://partiful.com/e/ljR8QfU0ZrVOSiE6diIr
191,2026-06-03,09:00:00,morning,Practical AI in Healthcare - Live Podcast Recording,Patient Talker LLC,Midtown,False,AI / Agents / GenAI;Health / bio / wellness;Consumer / creative / media,other,,https://partiful.com/events/vaFO9sGYiFZ1hzqrSkOa
4002,2026-06-03,09:00:00,morning,WebCongress - AI for Marketing,WebCongress,Chelsea,True,AI / Agents / GenAI;GTM / marketing / creator;Consumer / creative / media,other,,
4010,2026-06-03,09:00:00,morning,Israel Founders Mission NYC,Discount Tech,Midtown,False,Founder fundraising / VC,other,,https://partiful.com/e/FD0bs4xlpm0BNege9bJE
4202,2026-06-03,09:00:00,morning,Agentic Finance Summit,Party Action People,SoHo,False,AI / Agents / GenAI;Fintech / finance;Consumer / creative / media,technical_talk_workshop;community_networking,,
4234,2026-06-03,09:00:00,morning,Inside the Capital Stack: Emerging Managers & LPs,New York Ventures,Midtown,False,AI / Agents / GenAI;AI infra / devtools / cloud;Founder fundraising / VC;Consumer / creative / media,technical_talk_workshop;fundraising_vc,"In a market characterized by volatility, conservative investment strategies from family offices and institutions, and extended fundraising timelines, this …",https://partiful.com/e/X6gcykqwLI9ktdlTLALK
4342,2026-06-03,09:00:00,morning,Google for Startups Hub at NY Tech Week,Google for Startups,Chelsea,False,Consumer / creative / media,other,,https://partiful.com/e/ZzxFq9vcfoDUqBBRQTzv
4386,2026-06-03,09:00:00,morning,"The Future of Entertainment: Content, Creators and Capital",Manatt,Midtown,False,AI / Agents / GenAI;AI infra / devtools / cloud;Founder fundraising / VC;GTM / marketing / creator;Consumer / creative / media;Climate / deeptech / hardware,technical_talk_workshop;fundraising_vc,"As startups and investors rethink how technology reaches consumers — and how value is created at the intersection of hardware, AI, and media — the lines be…",https://partiful.com/e/89fRnFZuajb3BzXK9rEJ
4565,2026-06-03,09:00:00,morning,The Age of Influence in B2B Marketing,"Clarity Global, Inc.",Flatiron,False,GTM / marketing / creator;Consumer / creative / media;Diversity / women / international,other,Traditional marketing and communications are undergoing a seismic shift as the line between B2B and B2C strategies continues to blur. Modern B2B buyers no …,https://partiful.com/e/CKm2RMoLRlu5EwbQTzLQ
4762,2026-06-03,09:00:00,morning,"Build Your Own AI Data Agent (Low-Code, Hands-On Web Scraping Workshop)",Sequentum,Union Square,False,AI / Agents / GenAI;AI infra / devtools / cloud,technical_talk_workshop,"Sequentum is hosting a hands-on workshop where you'll build your own AI-powered data agent using Sequentum Cloud, our low-code platform that's easy for non…",https://partiful.com/e/05kyAz0HT3CAko2docJW
4873,2026-06-03,09:00:00,morning,An insider look at Empire AI: how New York built world-class public AI,HR&A Advisors,Midtown,False,AI / Agents / GenAI;Consumer / creative / media,other,Empire AI is a consortium of New York’s leading public and private universities that have come together to establish a state-of-the-art artificial intellig…,https://partiful.com/e/fFd0btC2b2HFv0yHTmrl
4894,2026-06-03,09:00:00,morning,Founder & Investor Breakfast @ The Ned,The Well Network,Nomad,False,Founder fundraising / VC;Consumer / creative / media,community_networking;fundraising_vc,"The Ned's Club Nomad in partnership with the Well Network, Ramp and friends, is pleased to host a breakfast with founders and investors as part of NY TechW…",https://partiful.com/e/GkCn2pyh6wFe3oLi7a7D
4906,2026-06-03,09:00:00,morning,The Pregame,Golden Hour Ventures,SoHo,False,other,other,,https://partiful.com/e/JL5du0VlezG8MNoxYZ1S?c=O5gJVEee
5027,2026-06-03,09:00:00,morning,"AI Office Hours: Coffee, Claude, and Coworking with Tabs & Attivo",Tabs,SoHo,False,AI / Agents / GenAI,community_networking,,https://partiful.com/e/DGJ1CuMG1bUlTJN89gAi
5104,2026-06-03,09:00:00,morning,"Healthcare & Self-Care, Bridging the Gap with ionava @ Yunara Life",Yunara Life,Gramercy Park,False,Health / bio / wellness;Consumer / creative / media,other,,https://partiful.com/e/sPplaYAA13KdbMUnQQiu
5224,2026-06-03,09:00:00,morning,Go To Market Morning Mixer,Technology Founders of America,Union Square,False,Founder fundraising / VC;Consumer / creative / media,community_networking,,https://partiful.com/e/A3EUigoZVOvMZxIdbDyX
5624,2026-06-03,09:00:00,morning,Founders Open: Pickleball & Networking Party,HubSpot,Midtown,False,Founder fundraising / VC;Consumer / creative / media,community_networking,"Starter Story, The Hustle, and The Dink are teaming up for a New York Tech Week event that’ll put everybody else’s standard name-tag-and-small-talk situati…",https://partiful.com/e/N1UtayvJqU3owBr9vXWF
